,x
1557,19.0
1558,20.0
1559,26.0
1560,19.0
1561,83.0
1562,59.0
1563,42.0
1564,25.0
1565,62.0
1566,62.0
1567,57.0
1568,67.0
1569,76.0
1570,23.0
1571,50.0
1572,59.0
1573,31.0
1574,68.0
1575,58.0
1576,72.0
1577,56.0
1578,56.0
1579,66.0
1580,67.0
1581,58.0
1582,52.0
1583,53.0
1584,69.0
1585,66.0
1586,48.0
1587,21.0
1588,69.0
1589,40.0
1590,58.0
1591,60.0
1592,57.0
1593,44.0
1594,56.0
1595,51.0
1596,63.0
1597,74.0
1598,55.0
1599,56.0
1600,70.0
1601,24.0
1602,58.0
1603,67.0
1604,43.0
1605,62.0
1606,43.0
1607,54.0
1608,49.0
1609,54.0
1610,56.0
1611,26.0
1612,66.0
1613,72.0
1614,47.0
1615,56.0
1616,46.0
1617,57.0
1618,57.0
1619,61.0
1620,65.0
1621,66.0
1622,68.0
1623,50.0
1624,55.0
1625,59.0
1626,18.0
1627,51.0
1628,51.0
1629,53.0
1630,55.0
1631,56.0
1632,58.0
1633,59.0
1634,62.0
1635,62.0
1636,62.0
1637,62.0
1638,63.0
1639,64.0
1640,72.0
1641,54.0
1642,58.0
1643,60.0
1644,60.0
1645,69.0
1646,58.0
1647,55.0
1648,67.0
1649,68.0
1650,53.0
1651,53.0
1652,54.0
1653,57.0
1654,68.0
1655,73.0
1656,53.0
1657,63.0
1658,76.0
1659,76.0
1660,60.0
1661,57.0
1662,64.0
1663,68.0
1664,70.0
1665,54.0
1666,62.0
1667,68.0
1668,71.0
1669,57.0
1670,56.0
1671,50.0
1672,51.0
1673,52.0
1674,55.0
1675,60.0
1676,65.0
1677,53.0
1678,72.0
1679,60.0
1680,37.0
1681,59.0
1682,63.0
1683,54.0
1684,60.0
1685,65.0
1686,66.0
1687,73.0
1688,65.0
1689,55.0
1690,53.0
1691,72.0
1692,21.0
1693,69.0
1694,70.0
1695,22.0
1696,65.0
1697,66.0
1698,68.0
1699,50.0
1700,76.0
1701,80.0
1702,24.0
1703,26.0
1704,34.0
1705,50.0
1706,54.0
1707,56.0
1708,58.0
1709,59.0
1710,60.0
1711,62.0
1712,64.0
1713,69.0
1714,70.0
1715,64.0
1716,57.0
1717,57.0
1718,70.0
1719,55.0
1720,76.0
1721,52.0
1722,55.0
1723,60.0
1724,61.0
1725,62.0
1726,65.0
1727,65.0
1728,66.0
1729,67.0
1730,20.0
1731,54.0
1732,67.0
1733,70.0
1734,23.0
1735,23.0
1736,56.0
1737,28.0
1738,19.0
1739,20.0
1740,20.0
1741,63.0
1742,20.0
1743,68.0
1744,20.0
1745,29.0
1746,52.0
1747,68.0
1748,74.0
1749,75.0
1750,47.0
1751,77.0
1752,51.0
1753,57.0
1754,67.0
1755,28.0
1756,41.0
1757,50.0
1758,51.0
1759,59.0
1760,66.0
1761,71.0
1762,18.0
1763,20.0
1764,42.0
1765,50.0
1766,54.0
1767,60.0
1768,60.0
1769,63.0
1770,70.0
1771,18.0
1772,18.0
1773,21.0
1774,32.0
1775,36.0
1776,58.0
1777,64.0
1778,38.0
1779,52.0
1780,20.0
1781,70.0
1782,52.0
1783,65.0
1784,30.0
1785,54.0
1786,62.0
1787,51.0
1788,62.0
1789,58.0
1790,33.0
1791,65.0
1792,70.0
1793,29.0
1794,34.0
1795,37.0
1796,60.0
1797,26.0
1798,18.0
1799,20.0
1800,21.0
1801,40.0
1802,55.0
1803,61.0
1804,30.0
1805,60.0
1806,58.0
1807,54.0
1808,38.0
1809,48.0
1810,58.0
1811,59.0
1812,55.0
1813,56.0
1814,59.0
1815,38.0
1816,54.0
1817,68.0
1818,52.0
1819,42.0
1820,45.0
1821,79.0
1822,51.0
1823,58.0
1824,61.0
1825,62.0
1826,60.0
1827,61.0
1828,66.0
1829,59.0
1830,19.0
1831,57.0
1832,30.0
1833,70.0
1834,55.0
1835,52.0
1836,60.0
1837,64.0
1838,54.0
1839,54.0
1840,50.0
1841,51.0
1842,56.0
1843,18.0
1844,51.0
1845,52.0
1846,56.0
1847,65.0
1848,66.0
1849,66.0
1850,45.0
1851,73.0
1852,70.0
1853,59.0
1854,59.0
1855,23.0
1856,67.0
1857,39.0
1858,59.0
1859,59.0
1860,63.0
1861,53.0
1862,18.0
1863,18.0
1864,22.0
1865,46.0
1866,30.0
1867,60.0
1868,72.0
1869,63.0
1870,46.0
1871,29.0
1872,48.0
1873,44.0
1874,61.0
1875,60.0
1876,50.0
1877,57.0
1878,63.0
1879,64.0
1880,52.0
1881,62.0
1882,51.0
1883,48.0
1884,60.0
1885,58.0
1886,56.0
1887,40.0
1888,19.0
1889,66.0
1890,73.0
1891,67.0
1892,55.0
1893,42.0
1894,70.0
1895,19.0
1896,71.0
1897,38.0
1898,63.0
1899,79.0
1900,59.0
1901,69.0
1902,53.0
1903,57.0
1904,29.0
1905,25.0
1906,41.0
1907,47.0
1908,18.0
1909,48.0
1910,18.0
1911,50.0
1912,52.0
1913,54.0
1914,71.0
1915,56.0
1916,61.0
1917,70.0
1918,54.0
1919,18.0
1920,44.0
1921,50.0
1922,51.0
1923,68.0
1924,43.0
1925,49.0
1926,56.0
1927,62.0
1928,68.0
1929,70.0
1930,53.0
1931,64.0
1932,59.0
1933,45.0
1934,56.0
1935,57.0
1936,58.0
1937,58.0
1938,66.0
1939,71.0
1940,50.0
1941,54.0
1942,61.0
1943,75.0
1944,63.0
1945,64.0
1946,49.0
1947,72.0
1948,65.0
1949,34.0
1950,56.0
1951,72.0
1952,23.0
1953,43.0
1954,52.0
1955,52.0
1956,35.0
1957,33.0
1958,35.0
1959,39.0
1960,50.0
1961,54.0
1962,58.0
1963,63.0
1964,65.0
1965,57.0
1966,57.0
1967,70.0
1968,52.0
1969,59.0
1970,67.0
1971,53.0
1972,53.0
1973,53.0
1974,57.0
1975,57.0
1976,62.0
1977,65.0
1978,52.0
1979,61.0
1980,69.0
1981,67.0
1982,18.0
1983,48.0
1984,46.0
1985,35.0
1986,60.0
1987,41.0
1988,42.0
1989,43.0
1990,49.0
1991,71.0
1992,24.0
1993,52.0
1994,56.0
1995,66.0
1996,18.0
1997,20.0
1998,23.0
1999,38.0
2000,40.0
2001,46.0
2002,49.0
2003,52.0
2004,52.0
2005,53.0
2006,57.0
2007,70.0
2008,78.0
2009,45.0
2010,27.0
2011,31.0
2012,42.0
2013,54.0
2014,54.0
2015,38.0
2016,50.0
