DATE,close
2023-05-11,2.89
2023-05-12,3.1
2023-05-15,3.4
2023-05-16,3.2
2023-05-17,3.4
2023-05-18,3.02
2023-05-19,3.08
2023-05-22,3.38
2023-05-23,3.41
2023-05-24,3.24
2023-05-25,2.84
2023-05-26,2.85
2023-05-30,2.68
2023-05-31,2.76
2023-06-01,2.78
2023-06-02,2.82
2023-06-05,2.82
2023-06-06,2.74
2023-06-07,2.74
2023-06-08,2.75
2023-06-09,2.71
2023-06-12,2.6
2023-06-13,2.64
2023-06-14,2.57
2023-06-15,2.7
2023-06-16,2.58
2023-06-20,2.48
2023-06-21,2.48
2023-06-22,2.66
2023-06-23,2.54
2023-06-26,2.53
2023-06-27,2.64
2023-06-28,2.84
2023-06-29,2.96
2023-06-30,3.22
2023-07-03,3.27
2023-07-05,3.15
2023-07-06,3.02
2023-07-07,3.13
2023-07-10,3.2
2023-07-11,3.13
2023-07-12,3.28
2023-07-13,3.23
2023-07-14,3.13
2023-07-17,3.32
2023-07-18,3.28
2023-07-19,3.34
2023-07-20,3.45
2023-07-21,3.65
2023-07-24,3.79
2023-07-25,3.55
2023-07-26,3.58
2023-07-27,3.63
2023-07-28,3.68
2023-07-31,3.8
2023-08-01,3.75
2023-08-02,3.51
2023-08-03,3.505
2023-08-04,3.47
2023-08-07,3.38
2023-08-08,3.46
2023-08-09,2.3
2023-08-10,2.22
2023-08-11,2.31
2023-08-14,2.14
2023-08-15,1.99
2023-08-16,1.95
2023-08-17,1.92
2023-08-18,1.93
2023-08-21,1.92
2023-08-22,1.97
2023-08-23,1.91
2023-08-24,1.82
2023-08-25,1.87
2023-08-28,1.97
2023-08-29,2.07
2023-08-30,1.92
2023-08-31,1.88
2023-09-01,1.99
2023-09-05,1.95
2023-09-06,1.85
2023-09-07,1.74
2023-09-08,1.65
2023-09-11,1.62
2023-09-12,1.52
2023-09-13,1.32
2023-09-14,1.38
2023-09-15,1.42
2023-09-18,1.35
2023-09-19,1.46
2023-09-20,1.46
2023-09-21,1.35
2023-09-22,1.39
2023-09-25,1.32
2023-09-26,1.26
2023-09-27,1.18
2023-09-28,1.19
2023-09-29,1.28
2023-10-02,1.21
2023-10-03,1.18
2023-10-04,1.11
2023-10-05,1.19
2023-10-06,1.26
2023-10-09,1.28
2023-10-10,1.45
2023-10-11,1.39
2023-10-12,1.31
2023-10-13,1.31
2023-10-16,1.31
2023-10-17,1.41
2023-10-18,1.35
2023-10-19,1.315
2023-10-20,1.22
2023-10-23,1.24
2023-10-24,1.25
2023-10-25,1.25
2023-10-26,1.19
2023-10-27,1.12
2023-10-30,1.09
2023-10-31,1.07
2023-11-01,1.05
2023-11-02,1.22
2023-11-03,1.25
